Year,Player,College,Pick,Round,Team,Games_Played,Career_AV,Receiving_Yards,Receiving_TDs,Seasons_Played
2021,Mike Strachan,Charleston (WV),229,,IND,,,,,
2021,Tre Nixon,Central Florida,242,,NWE,,,,,
2021,Ben Skowronek,Notre Dame,249,,LAR,,,,,
2021,Kawaan Baker,South Alabama,255,,NOR,,,,,
2021,Dax Milne,BYU,258,,WAS,,,,,
2022,Drake London,USC,8,,ATL,,,,,
2022,Garrett Wilson,Ohio St.,10,,NYJ,,,,,
2022,Chris Olave,Ohio St.,11,,NOR,,,,,
2022,Jameson Williams,Alabama,12,,DET,,,,,
2022,Jahan Dotson,Penn St.,16,,WAS,,,,,
2022,Treylon Burks,Arkansas,18,,TEN,,,,,
2022,Christian Watson,North Dakota St.,34,,GNB,,,,,
2022,Wan'Dale Robinson,Kentucky,43,,NYG,,,,,
2022,John Metchie,Alabama,44,,HOU,,,,,
2022,Tyquan Thornton,Baylor,50,,NWE,,,,,
2022,George Pickens,Georgia,52,,PIT,,,,,
2022,Alec Pierce,Cincinnati,53,,IND,,,,,
2022,Skyy Moore,Western Michigan,54,,KAN,,,,,
2022,Velus Jones Jr.,Tennessee,71,,CHI,,,,,
2022,Jalen Tolbert,South Alabama,88,,DAL,,,,,
2022,David Bell,Purdue,99,,CLE,,,,,
2022,Danny Gray,SMU,105,,SFO,,,,,
2022,Erik Ezukanma,Texas Tech,125,,MIA,,,,,
2022,Romeo Doubs,Nevada,132,,GNB,,,,,
2022,Calvin Austin III,Memphis,138,,PIT,,,,,
2022,Khalil Shakir,Boise St.,148,,BUF,,,,,
2022,Montrell Washington,Samford,162,,DEN,,,,,
2022,Kyle Philips,UCLA,163,,TEN,,,,,
2022,Jalen Nailor,Michigan St.,191,,MIN,,,,,
2022,Michael Woods II,Oklahoma,202,,CLE,,,,,
2022,Bo Melton,Rutgers,229,,SEA,,,,,
2022,Dareke Young,Lenoir-Rhyne,233,,SEA,,,,,
2022,Samori Toure,Nebraska,258,,GNB,,,,,
