Year,Player,Player_ID,College,Pick,Round,Team
2020,Michael Pittman Jr.,PittMi01,USC,34,,IND
2020,Laviska Shenault Jr.,ShenLa00,Colorado,42,,JAX
2020,KJ Hamler,HamlKJ00,Penn St.,46,,DEN
2020,Chase Claypool,ClayCh01,Notre Dame,49,,PIT
2020,Van Jefferson,JeffVa00,Florida,57,,LAR
2020,Denzel Mims,MimsDe00,Baylor,59,,NYJ
2020,Lynn Bowden Jr.,BowdLy00,Kentucky,80,,LVR
2020,Bryan Edwards,EdwaBr01,South Carolina,81,,LVR
2020,Devin Duvernay,DuveDe00,Texas,92,,BAL
2020,Gabriel Davis,DaviGa01,Central Florida,128,,BUF
2020,Antonio Gandy-Golden,GandAn00,Liberty,142,,WAS
2020,Joe Reed,ReedJo03,Virginia,151,,LAC
2020,Tyler Johnson,JohnTy00,Minnesota,161,,TAM
2020,Collin Johnson,JohnCo01,Texas,165,,JAX
2020,Quintez Cephus,CephQu00,Wisconsin,166,,DET
2020,John Hightower,HighJo00,Boise St.,168,,PHI
2020,Isaiah Coulter,CoulIs00,Rhode Island,171,,HOU
2020,Darnell Mooney,MoonDa00,Tulane,173,,CHI
2020,K.J. Osborn,OsboKJ00,Miami (FL),176,,MIN
2020,Donovan Peoples-Jones,PeopDo00,Michigan,187,,CLE
2020,Quez Watkins,WatkQu00,Southern Miss,200,,PHI
2020,James Proche,ProcJa00,SMU,201,,BAL
2020,Isaiah Hodgins,HodgIs00,Oregon St.,207,,BUF
2020,Dezmon Patmon,PatmDe00,Washington St.,212,,IND
2020,Freddie Swain,SwaiFr00,Florida,214,,SEA
2020,Jauan Jennings,JennJa00,Tennessee,217,,SFO
2020,K.J. Hill,HillKJ00,Ohio St.,220,,LAC
2020,Tyrie Cleveland,ClevTy00,Florida,252,,DEN
2021,Ja'Marr Chase,ChasJa00,LSU,5,,CIN
2021,Jaylen Waddle,WaddJa00,Alabama,6,,MIA
2021,DeVonta Smith,SmitDe07,Alabama,10,,PHI
2021,Kadarius Toney,ToneKa00,Florida,20,,NYG
2021,Rashod Bateman,BateRa00,Minnesota,27,,BAL
2021,Elijah Moore,MoorEl00,Mississippi,34,,NYJ
2021,Rondale Moore,MoorRo02,Purdue,49,,ARI
2021,D'Wayne Eskridge,EskrDW00,Western Michigan,56,,SEA
2021,Tutu Atwell,AtweTu00,Louisville,57,,LAR
2021,Terrace Marshall Jr.,MarsTe00,LSU,59,,CAR
2021,Josh Palmer,PalmJo00,Tennessee,77,,LAC
2021,Dyami Brown,BrowDy00,North Carolina,82,,WAS
2021,Amari Rodgers,RodgAm00,Clemson,85,,GNB
2021,Nico Collins,CollNi00,Michigan,89,,HOU
2021,Anthony Schwartz,SchwAn00,Auburn,91,,CLE
2021,Dez Fitzpatrick,FitzDe00,Louisville,109,,TEN
2021,Amon-Ra St. Brown,StxxAm00,USC,112,,DET
2021,Jaelon Darden,DardJa00,North Texas,129,,TAM
2021,Tylan Wallace,WallTy00,Oklahoma St.,131,,BAL
2021,Jacob Harris,HarrJa03,Central Florida,141,,LAR
2021,Ihmir Smith-Marsette,SmitIh00,Iowa,157,,MIN
2021,Simi Fehoko,FehoSi00,Stanford,179,,DAL
2021,Cornell Powell,PoweCo00,Clemson,181,,KAN
2021,Frank Darby,DarbFr00,Arizona St.,187,,ATL
2021,Marquez Stevenson,StevMa00,Houston,203,,BUF
2021,Shi Smith,SmitSh03,South Carolina,204,,CAR
2021,Racey McMath,McMaRa00,LSU,205,,TEN
2021,Jalen Camp,CampJa03,Georgia Tech,209,,JAX
2021,Seth Williams,WillSe00,Auburn,219,,DEN
2021,Dazz Newsome,NewsDa00,North Carolina,221,,CHI
2021,Mike Strachan,StraMi03,Charleston (WV),229,,IND
2021,Tre Nixon,NixoTr01,Central Florida,242,,NWE
2021,Ben Skowronek,SkowBe00,Notre Dame,249,,LAR
2021,Kawaan Baker,BakeKa00,South Alabama,255,,NOR
2021,Dax Milne,MilnDa00,BYU,258,,WAS
2022,Drake London,LondDr00,USC,8,,ATL
